"Site_Name","Year","Common_Name","Ambient_Noise","Detection_Count"
"Vancampens Brook 76",2023,"Pileated Woodpecker",38.75,2
"Vancampens Brook 76",2023,"Red-bellied Woodpecker",38.75,1
"Vancampens Brook 76",2025,"Downy Woodpecker",44.25,1
"Vancampens Brook 76",2025,"Red-bellied Woodpecker",36.75,1
"Vancampens Brook 95",2014,"Downy Woodpecker",46.25,1
"Vancampens Brook 95",2014,"Downy Woodpecker",46.5,1
"Vancampens Brook 95",2016,"Downy Woodpecker",36,1
"Vancampens Brook 95",2016,"Pileated Woodpecker",31,1
"Vancampens Brook 95",2016,"Pileated Woodpecker",36,2
"Vancampens Brook 95",2016,"Red-bellied Woodpecker",31,4
"Vancampens Brook 95",2016,"Red-bellied Woodpecker",37,2
"Vancampens Brook 95",2018,"Pileated Woodpecker",39.75,1
"Vancampens Brook 95",2022,"Downy Woodpecker",37,1
"Vancampens Brook 95",2024,"Downy Woodpecker",35,1
"Vancampens Brook 95",2024,"Downy Woodpecker",42.75,2
"Vancampens Brook 95",2024,"Hairy Woodpecker",37,1
"Vancampens Brook 95",2024,"Pileated Woodpecker",35.5,1
"Vancampens Brook 95",2024,"Pileated Woodpecker",42.75,1
"Vancampens Brook 95",2024,"Red-bellied Woodpecker",36.75,1
"White Brook 15",2015,"Downy Woodpecker",45.25,1
"White Brook 15",2015,"Downy Woodpecker",51.5,1
"White Brook 15",2015,"Pileated Woodpecker",44,1
"White Brook 15",2015,"Red-bellied Woodpecker",44,1
"White Brook 15",2017,"Downy Woodpecker",38.5,1
"White Brook 15",2017,"Downy Woodpecker",39.25,1
"White Brook 15",2017,"Downy Woodpecker",42.25,1
"White Brook 15",2017,"Downy Woodpecker",42.75,1
"White Brook 15",2017,"Hairy Woodpecker",42.75,1
"White Brook 15",2017,"Red-bellied Woodpecker",37.5,1
"White Brook 15",2017,"Red-bellied Woodpecker",38.5,1
"White Brook 15",2017,"Red-bellied Woodpecker",39.25,1
"White Brook 15",2017,"Red-bellied Woodpecker",42.75,1
"White Brook 15",2019,"Downy Woodpecker",40.75,1
"White Brook 15",2019,"Pileated Woodpecker",40,1
"White Brook 15",2019,"Pileated Woodpecker",46.5,1
"White Brook 15",2019,"Pileated Woodpecker",47.5,1
"White Brook 15",2023,"Downy Woodpecker",35.5,2
"White Brook 15",2023,"Downy Woodpecker",36.25,3
"White Brook 15",2023,"Downy Woodpecker",37.75,2
"White Brook 15",2023,"Downy Woodpecker",38,1
"White Brook 15",2023,"Downy Woodpecker",40,2
"White Brook 15",2023,"Hairy Woodpecker",36.75,1
"White Brook 15",2023,"Red-bellied Woodpecker",36,1
"White Brook 15",2023,"Red-bellied Woodpecker",36.25,1
"White Brook 15",2023,"Red-bellied Woodpecker",38,1
"White Brook 15",2023,"Red-bellied Woodpecker",40,1
"White Brook 15",2025,"Downy Woodpecker",45,1
"White Brook 15",2025,"Downy Woodpecker",45.75,1
"White Brook 15",2025,"Downy Woodpecker",46,1
"White Brook 15",2025,"Pileated Woodpecker",46,2
"White Brook 15",2025,"Red-bellied Woodpecker",46,2
"Yards Creek 07",2015,"Downy Woodpecker",56.5,3
"Yards Creek 07",2023,"Downy Woodpecker",35.75,1
"Yards Creek 07",2023,"Red-bellied Woodpecker",36.75,1
"Yards Creek 07",2023,"Red-bellied Woodpecker",45.75,1
"Yards Creek 07",2025,"Hairy Woodpecker",54.75,1
